tm,tm.abbr,tm.alt1
Adelaide,Ad,Adelaide
Brisbane Lions,Br,Brisbane
Carlton,Car,Carlton
Collingwood,Col,Collingwood
Essendon,Ess,Essendon
Fremantle,Fre,Fremantle
Geelong,Gee,Geelong
Gold Coast,GC,Gold Coast
Greater Western Sydney,GWS,GWS Giants
Hawthorn,Haw,Hawthorn
Melbourne,Mel,Melbourne
North Melbourne,NM,North Melbourne
Port Adelaide,PA,Port Adelaide
Richmond,Ric,Richmond
St Kilda,StK,St Kilda
Sydney,Syd,Sydney
West Coast,WC,West Coast
Western Bulldogs,WB,Western Bulldogs
